,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed,Date
0,vaini,20,65,-21.2,-175.2,80.6,9.17,12/10/2017
1,rikitea,76,100,-23.12,-134.97,77.14,19.42,12/10/2017
2,punta arenas,75,81,-53.15,-70.92,46.4,5.82,12/10/2017
3,ushuaia,40,75,-54.8,-68.3,44.6,4.7,12/10/2017
4,hermanus,0,96,-34.42,19.23,44.74,3.6,12/10/2017
5,bredasdorp,48,100,-34.53,20.04,59.86,4.21,12/10/2017
6,port elizabeth,0,87,-33.92,25.57,57.2,9.17,12/10/2017
7,port alfred,88,100,-33.59,26.89,61.07,7.29,12/10/2017
8,east london,100,100,-33.02,27.91,64.09,10.02,12/10/2017
9,busselton,0,100,-33.65,115.33,66.79,15.12,12/10/2017
10,albany,90,80,42.65,-73.76,33.82,8.05,12/10/2017
11,new norfolk,75,47,-42.78,147.06,77.0,10.29,12/10/2017
12,hobart,75,47,-42.88,147.33,77.0,10.29,12/10/2017
13,bluff,0,100,-46.6,168.33,55.45,31.12,12/10/2017
14,cape town,0,72,-33.93,18.42,62.6,11.41,12/10/2017
15,kruisfontein,0,90,-34.0,24.73,55.04,7.52,12/10/2017
16,mar del plata,0,67,-38.0,-57.56,57.2,4.7,12/10/2017
17,saint-philippe,20,69,-21.36,55.77,77.97,6.93,12/10/2017
18,chuy,0,83,-33.7,-53.46,61.84,10.87,12/10/2017
19,avarua,90,94,-21.21,-159.78,77.0,14.99,12/10/2017
20,tuatapere,56,100,-46.13,167.68,51.4,20.09,12/10/2017
21,cidreira,76,88,-30.18,-50.21,66.7,14.94,12/10/2017
22,souillac,20,88,-20.52,57.52,75.2,7.85,12/10/2017
23,portland,90,100,45.52,-122.68,46.99,5.82,12/10/2017
24,castro,64,94,-24.79,-50.01,65.12,7.85,12/10/2017
25,mount gambier,68,100,-37.83,140.77,68.77,6.85,12/10/2017
26,arraial do cabo,56,93,-22.97,-42.03,75.2,9.86,12/10/2017
27,rocha,0,66,-34.48,-54.33,59.72,10.09,12/10/2017
28,jamestown,90,100,42.1,-79.24,37.45,8.05,12/10/2017
29,mahebourg,20,88,-20.41,57.7,75.2,7.85,12/10/2017
30,dunedin,48,75,-45.87,170.5,52.34,20.83,12/10/2017
31,rio gallegos,20,54,-51.62,-69.22,53.6,4.7,12/10/2017
32,rawson,0,75,-43.3,-65.1,60.94,12.55,12/10/2017
33,necochea,12,64,-38.55,-58.74,59.59,13.67,12/10/2017
34,port lincoln,0,81,-34.73,135.87,69.58,24.23,12/10/2017
35,coihaique,75,71,-45.58,-72.07,53.31,4.7,12/10/2017
36,comodoro rivadavia,0,40,-45.87,-67.5,69.8,12.75,12/10/2017
37,plettenberg bay,8,100,-34.05,23.37,58.33,4.32,12/10/2017
38,esperance,92,70,-33.87,121.9,63.14,20.6,12/10/2017
39,christchurch,88,31,-43.53,172.63,75.2,18.34,12/10/2017
40,saldanha,0,80,-33.01,17.94,57.97,20.54,12/10/2017
41,margate,8,100,51.38,1.39,32.88,4.7,12/10/2017
42,burnie,92,90,-41.07,145.92,66.02,15.35,12/10/2017
43,otautau,44,80,-46.15,168.0,52.84,21.83,12/10/2017
44,waitati,48,75,-45.75,170.57,52.34,20.83,12/10/2017
45,viedma,32,30,-40.81,-63.0,68.41,9.86,12/10/2017
46,te anau,64,74,-45.42,167.72,50.86,8.23,12/10/2017
47,wanaka,0,36,-44.7,169.15,61.39,8.52,12/10/2017
48,rakaia,100,31,-43.75,172.02,75.2,18.34,12/10/2017
49,waipawa,44,52,-41.41,175.52,66.2,17.22,12/10/2017
50,ancud,0,89,-41.87,-73.82,48.74,2.19,12/10/2017
51,puerto montt,0,76,-41.47,-72.94,51.8,4.7,12/10/2017
52,trelew,0,37,-43.25,-65.31,59.77,6.73,12/10/2017
53,puerto madryn,0,72,-42.77,-65.04,60.85,9.08,12/10/2017
54,launceston,40,73,-41.45,147.17,71.6,4.7,12/10/2017
55,batemans bay,24,54,-35.72,150.18,87.94,5.73,12/10/2017
56,valdivia,0,93,-39.81,-73.25,50.0,4.32,12/10/2017
57,panguipulli,0,93,-39.63,-72.33,50.0,2.48,12/10/2017
58,neuquen,0,24,-38.95,-68.06,65.57,8.57,12/10/2017
59,tres arroyos,20,43,-38.37,-60.28,63.01,12.66,12/10/2017
60,maldonado,0,67,-34.9,-54.95,60.8,8.05,12/10/2017
61,rio grande,76,84,-32.03,-52.1,68.54,16.58,12/10/2017
62,laguna,20,75,38.42,-121.42,47.16,3.2,12/10/2017
63,victor harbor,0,41,-35.57,138.62,78.8,18.34,12/10/2017
64,colac,76,60,-38.33,143.58,80.02,8.12,12/10/2017
65,lakes entrance,44,42,-37.88,147.98,89.15,6.22,12/10/2017
66,ulladulla,12,55,-35.35,150.47,86.0,10.29,12/10/2017
67,westport,75,70,41.14,-73.36,41.85,4.7,12/10/2017
68,takaka,76,79,-40.85,172.8,64.63,11.43,12/10/2017
69,takapau,68,39,-40.03,176.35,70.97,18.14,12/10/2017
70,lebu,0,96,-37.62,-73.65,54.19,18.37,12/10/2017
71,mulchen,0,88,-37.72,-72.23,46.27,3.71,12/10/2017
72,santa rosa,75,100,14.31,121.11,80.6,4.7,12/10/2017
73,bambous virieux,20,88,-20.34,57.76,75.2,7.85,12/10/2017
74,geelong,12,21,-38.15,144.36,97.21,28.86,12/10/2017
75,nelson bay,0,30,-32.72,152.15,98.6,12.75,12/10/2017
