,User,Date,Tweet Text,Tweets Ago,Positive,Negative,Neutral,Compound
0,BBC,Sun Dec 24 21:43:10 +0000 2017,"Toasters: sworn enemy of the pet cat. 

#Doodlebugs is now available on @BBCiPlayer: https://t.co/5Yg5NYbjiO https://t.co/wAi6tUDMvy",1,0.0,0.8,0.2,-0.5423
1,BBC,Sun Dec 24 20:03:04 +0000 2017,Will you struggle to nod off knowing that Santa's on his way? Here are 7 tips from the Tudors on how to have a good… https://t.co/aqJ1Kp5QlL,2,0.0,0.909,0.091,-0.3182
2,BBC,Sun Dec 24 19:33:04 +0000 2017,Leonardo DiCaprio and Carey Mulligan star in a lavish adaptation of F. Scott Fitzgerald's classic novel. The Great… https://t.co/P4OV4NIZ8b,3,0.119,0.881,0.0,0.3182
3,BBC,Sun Dec 24 19:03:04 +0000 2017,"Tonight, @BillBailey, @Seal and @AleshaOfficial join @McInTweet for a Christmas special stuffed full of festive fun… https://t.co/iIr1OmdyLK",4,0.378,0.622,0.0,0.7845
4,BBC,Sun Dec 24 18:57:04 +0000 2017,RT @BBCiPlayer: ?  Cuteness alert! @SukiandtheCity is loving #indianajones this Christmas Eve ? https://t.co/4njqy0GmB7 https://t.co/4neEWm…,5,0.492,0.508,0.0,0.8655
5,BBC,Sun Dec 24 18:33:04 +0000 2017,"'People love seeing the dogs - especially with towels on their heads.'

? This dog nativity photograph has gone vir… https://t.co/2ziF5VzkGo",6,0.189,0.811,0.0,0.6369
6,BBC,Sun Dec 24 18:21:06 +0000 2017,RT @BBC6Music: Some amazing suggestions of gigs that you would time travel to. Wonder which gig @maryannehobbs would hop in the Tardis to s…,7,0.142,0.858,0.0,0.5859
7,BBC,Sun Dec 24 18:18:37 +0000 2017,"RT @BBCOne: Amsterdam, 1686. Nella Oortman enters a world of tensions, secrets and mystery which soon threatens her future.

? #TheMiniatur…",8,0.0,0.762,0.238,-0.6486
8,BBC,Sun Dec 24 17:32:03 +0000 2017,"Tonight, there's a huge surprise in store for a Welsh community centre. Mary, Mel and Sue's Big Christmas Thank You… https://t.co/DYo5HnRgsk",9,0.301,0.699,0.0,0.7096
9,BBC,Sun Dec 24 16:48:03 +0000 2017,Not eating meat doesn't mean you have to miss out. These festive recipes will help you have a very merry vegmas. ??… https://t.co/yilTnDYG4n,10,0.326,0.619,0.055,0.8357
10,BBC,Sun Dec 24 16:29:50 +0000 2017,RT @bbcthree: Is social media ruining your relationship? https://t.co/0PJZiC8s5g,11,0.0,0.8,0.2,-0.25
11,BBC,Sun Dec 24 16:26:49 +0000 2017,"RT @BBCOne: Lights, camera, action! Films for the family this Christmas on @BBCOne. ? https://t.co/ldUi0Bnhn7",12,0.0,1.0,0.0,0.0
12,BBC,Sun Dec 24 16:00:01 +0000 2017,"The struggle is real. ??

Via @BBCTheSocial https://t.co/YrfHSW7Bwu",13,0.0,0.753,0.247,-0.3182
13,BBC,Sun Dec 24 15:00:08 +0000 2017,? Are real or fake Christmas trees better for the environment? ??https://t.co/8JZoL7ZzDa https://t.co/dEoYVZp4j9,14,0.181,0.625,0.194,-0.0516
14,BBC,Sun Dec 24 14:30:09 +0000 2017,?? 7 huge songs that only made it to No.2 in the Christmas chart.  https://t.co/KSJzX0Hl8r https://t.co/YiAA6ZW5BO,15,0.141,0.859,0.0,0.3182
15,BBC,Sun Dec 24 14:00:05 +0000 2017,Worried about over-indulging this Christmas? These recipes offer healthy alternatives to your favourite festive foo… https://t.co/nN6f3sltbj,16,0.273,0.622,0.105,0.5423
16,BBC,Sun Dec 24 13:30:02 +0000 2017,"Doodlebugs. Where a clip show meets a sketch show and draws a funny face on it. ?

#DoodleBugs | @BBCOne |… https://t.co/5JpRtJ3zX4",17,0.153,0.847,0.0,0.4404
17,BBC,Sun Dec 24 12:35:04 +0000 2017,How much do you know about Britain's favourite cheese? This Cheddar quiz is not as cheesy as you might think. ?… https://t.co/PFYJ2VVjn3,18,0.0,1.0,0.0,0.0
18,BBC,Sun Dec 24 12:02:43 +0000 2017,"RT @bbccomedy: What's the worst Christmas present you've ever received? We went around BBC Towers asking some famous faces theirs! 

PS: Do…",19,0.0,0.827,0.173,-0.6588
19,BBC,Sun Dec 24 12:02:29 +0000 2017,"RT @BBCR1: SO ? MANY ? GOOSEBUMPS ?

Watch @SamSmithWorld's stunning Live Lounge back in full ? https://t.co/Hqu3GMbdkq https://t.co/YyQdPe…",20,0.157,0.843,0.0,0.3818
20,BBC,Sun Dec 24 21:43:10 +0000 2017,"Toasters: sworn enemy of the pet cat. 

#Doodlebugs is now available on @BBCiPlayer: https://t.co/5Yg5NYbjiO https://t.co/wAi6tUDMvy",21,0.0,0.8,0.2,-0.5423
21,BBC,Sun Dec 24 20:03:04 +0000 2017,Will you struggle to nod off knowing that Santa's on his way? Here are 7 tips from the Tudors on how to have a good… https://t.co/aqJ1Kp5QlL,22,0.0,0.909,0.091,-0.3182
22,BBC,Sun Dec 24 19:33:04 +0000 2017,Leonardo DiCaprio and Carey Mulligan star in a lavish adaptation of F. Scott Fitzgerald's classic novel. The Great… https://t.co/P4OV4NIZ8b,23,0.119,0.881,0.0,0.3182
23,BBC,Sun Dec 24 19:03:04 +0000 2017,"Tonight, @BillBailey, @Seal and @AleshaOfficial join @McInTweet for a Christmas special stuffed full of festive fun… https://t.co/iIr1OmdyLK",24,0.378,0.622,0.0,0.7845
24,BBC,Sun Dec 24 18:57:04 +0000 2017,RT @BBCiPlayer: ?  Cuteness alert! @SukiandtheCity is loving #indianajones this Christmas Eve ? https://t.co/4njqy0GmB7 https://t.co/4neEWm…,25,0.492,0.508,0.0,0.8655
25,BBC,Sun Dec 24 18:33:04 +0000 2017,"'People love seeing the dogs - especially with towels on their heads.'

? This dog nativity photograph has gone vir… https://t.co/2ziF5VzkGo",26,0.189,0.811,0.0,0.6369
26,BBC,Sun Dec 24 18:21:06 +0000 2017,RT @BBC6Music: Some amazing suggestions of gigs that you would time travel to. Wonder which gig @maryannehobbs would hop in the Tardis to s…,27,0.142,0.858,0.0,0.5859
27,BBC,Sun Dec 24 18:18:37 +0000 2017,"RT @BBCOne: Amsterdam, 1686. Nella Oortman enters a world of tensions, secrets and mystery which soon threatens her future.

? #TheMiniatur…",28,0.0,0.762,0.238,-0.6486
28,BBC,Sun Dec 24 17:32:03 +0000 2017,"Tonight, there's a huge surprise in store for a Welsh community centre. Mary, Mel and Sue's Big Christmas Thank You… https://t.co/DYo5HnRgsk",29,0.301,0.699,0.0,0.7096
29,BBC,Sun Dec 24 16:48:03 +0000 2017,Not eating meat doesn't mean you have to miss out. These festive recipes will help you have a very merry vegmas. ??… https://t.co/yilTnDYG4n,30,0.326,0.619,0.055,0.8357
